City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,provideniya,90,RU,1525746600,92,64.42,-173.23,26.6,31.32
1,kurumkan,92,RU,1525750283,76,54.33,110.32,36.78,2.39
2,cape town,40,ZA,1525748400,82,-33.93,18.42,59.0,20.8
3,mackenzie,90,CA,1525744800,39,55.34,-123.09,64.4,6.93
4,limoges,0,FR,1525748400,71,45.84,1.26,57.2,3.36
5,hobart,20,AU,1525748400,59,-42.88,147.33,59.0,14.99
6,fortuna,20,ES,1525748400,87,38.18,-1.13,59.0,3.36
7,karratha,0,AU,1525750285,22,-20.74,116.85,92.85,4.63
8,ushuaia,75,AR,1525744800,70,-54.81,-68.31,46.4,16.82
9,kautokeino,0,NO,1525750285,85,69.01,23.04,30.21,5.53
10,evensk,92,RU,1525750285,100,61.92,159.24,29.4,8.99
11,mataura,88,NZ,1525750286,81,-46.19,168.86,58.29,29.8
12,flinders,0,AU,1525744800,33,-34.58,150.85,73.4,11.41
13,torbay,75,CA,1525744800,93,47.66,-52.73,37.4,13.87
14,tura,80,IN,1525750286,95,25.52,90.21,73.32,4.41
15,alenquer,75,BR,1525748400,100,-1.95,-54.74,77.0,3.51
16,hermanus,36,ZA,1525750287,71,-34.42,19.24,57.48,15.48
17,sao filipe,0,CV,1525750287,100,14.9,-24.5,69.63,15.26
18,rikitea,80,PF,1525750288,100,-23.12,-134.97,77.82,18.72
19,roma,90,IT,1525747800,100,41.89,12.48,60.8,3.36
20,marsa matruh,0,EG,1525744800,48,31.35,27.25,64.4,10.29
21,rancho palos verdes,5,US,1525748280,82,33.75,-118.37,73.4,9.17
22,camopi,92,GF,1525750289,100,3.17,-52.33,72.24,2.06
23,kapaa,90,US,1525748160,69,22.08,-159.32,75.2,20.8
24,lithakia,20,GR,1525747800,100,37.72,20.83,60.8,3.06
25,hilo,90,US,1525748160,83,19.71,-155.08,75.2,10.29
26,arraial do cabo,88,BR,1525750290,100,-22.97,-42.02,69.45,9.1
27,ribeira grande,36,PT,1525750290,100,38.52,-28.7,62.7,5.53
28,tessalit,0,ML,1525750291,33,20.2,1.01,66.03,3.51
29,avarua,40,CK,1525748400,78,-21.21,-159.78,80.6,9.17
30,tuktoyaktuk,40,CA,1525744800,85,69.44,-133.03,23.0,11.41
31,castro,0,CL,1525750292,94,-42.48,-73.76,41.28,2.62
32,nemuro,40,JP,1525744800,61,43.32,145.57,46.4,14.99
33,prince rupert,75,CA,1525747080,100,54.32,-130.32,48.2,8.05
34,east london,0,ZA,1525748400,31,-33.02,27.91,73.4,11.41
